Reference,Reference_Alternative,Reason_for_Exclusion,Notes,Occurrences
"Quinn, A. E., Ezaz, T., Sarre, S. D., Graves, J. A. M., & Georges, A. (2010). Extension, single-locus conversion and physical mapping of sex chromosome sequences identify the Z microchromosome and pseudo-autosomal region in a dragon lizard, Pogona vitticeps. Heredity, 104(4), 410-417.",NA,Squamate,NA,1
"Radder, R. S., & Shine, R. (2007). Sex-based hatching asynchrony in an oviparous lizard (Bassiana duperreyi, Scincidae). Austral Ecology, 32(5), 502-508.",NA,Squamate,NA,1
"Ramsey, M., & Crews, D. (2007). Adrenal–kidney–gonad complex measurements may not predict gonad-specific changes in gene expression patterns during temperature-dependent sex determination in the red-eared slider turtle (Trachemys scripta elegans). Journal of Experimental Zoology Part A, 307(8), 463-470.",NA,No hatchling sex ratio data,NA,2
"Ramsey, M., & Crews, D. (2007). Steroid signaling system responds differently to temperature and hormone manipulation in the red-eared slider turtle (Trachemys scripta elegans), a reptile with temperature-dependent sex determination. Sexual Development, 1(3), 181-196.",NA,No hatchling sex ratio data,NA,2
"Ramsey, M., & Crews, D. (2009). Steroid signaling and temperature-dependent sex determination - Reviewing the evidence for early action of estrogen during ovarian determination in turtles. Seminars in Cell & Developmental Biology, 20(3), 283-292.",NA,No hatchling sex ratio data,NA,3
"Read, T. C., Petit, M., Magnan, M., & Booth, D. (2018). Going back to the roots: Finding a strategy for the management of nesting loggerhead sea turtles in New Caledonia. Australian Journal of Zoology, 66(6), 394-400.",NA,Estimated hatchling sex ratios with temperature data,NA,2
"Refsnider, J. M. (2013). High thermal variance in naturally incubated turtle nests produces faster offspring. Journal of Ethology, 31(1), 85-93.",NA,No hatchling sex ratio data,NA,3
"Refsnider, J. M. (2016). Nest-site choice and nest construction in non-avian reptiles: Evolutionary significance and ecological implications. Avian Biology Research, 9(2), 76-88.",NA,No hatchling sex ratio data,NA,2
"Refsnider, J. M., & Janzen, F. J. (2010). Putting eggs in one basket: Ecological and evolutionary hypotheses for variation in oviposition-site choice. Annual Review of Ecology, Evolution, and Systematics, 41, 39-57.",NA,No hatchling sex ratio data,NA,2
"Refsnider, J. M., Bodensteiner, B. L., Reneker, J. L., & Janzen, F. J. (2013). Experimental field studies of species' responses to climate change: Challenges and future directions. Animal Conservation, 16(5), 498-499.",NA,No hatchling sex ratio data,NA,1
"Refsnider, J. M., Daugherty, C. H., Godfrey, S. S., Keall, S. N., Moore, J. A., & Nelson, N. J. (2013). Patterns of nesting migrations in the Tuatara (Sphenodon punctatus), a colonially nesting island reptile. Herpetologica, 69(3), 282-290.",NA,Tuatara,NA,3
"Refsnider, J. M., Warner, D. A., & Janzen, F. J. (2013). Does shade cover availability limit nest-site choice in two populations of a turtle with temperature-dependent sex determination? Journal of Thermal Biology, 38(3), 152-158.",NA,No hatchling sex ratio data,NA,3
"Refsnider, J., & Janzen, F. (2010). Can nest-site choice compensate for the effects of climate change on reptiles with temperature-dependent sex determination? Integrative and Comparative Biology, 50(S1), E145.",NA,No hatchling sex ratio data,NA,2
"Reiber, C. L., Malekpour, S., & McDaniel, M. (1999). Effects of post-hatching maintenance temperature on desert tortoise (Gopherus agassizii) shell morphology and thermoregulatory behavior. Journal of Herpetology, 33(2), 234-240.",NA,No hatchling sex ratio data,NA,1
"Reichling, S. B., & Gutzke, W. H. N. (1996). Phenotypic consequences of incubation environment in the African elapid genus Aspidelaps. Zoo Biology, 15(3), 301-308.",NA,Squamate,NA,2
"Reneker, J. L., & Kamel, S. J. (2016). Climate change increases the production of female hatchlings at a northern sea turtle rookery. Ecology, 97(12), 3257-3264.",NA,Estimated hatchling sex ratios with incubation length data,NA,2
"Reneker, J. L., & Kamel, S. J. (2016). The maternal legacy: Female identity predicts offspring sex ratio in the loggerhead sea turtle. Scientific Reports, 6, 29237.",NA,Estimated hatchling sex ratios with incubation length data,NA,2
"Rhen, T., & Crews, D. (1999). Embryonic temperature and gonadal sex organize male-typical sexual and aggressive behavior in a lizard with temperature-dependent sex determination. Endocrinology, 140(10), 4501-4508.",NA,Squamate,NA,3
"Rhen, T., & Lang, J. W. (1995). Phenotypic plasticity for growth in the common snapping turtle: effects of incubation temperature, clutch, and their interaction. The American Naturalist, 146(5), 726-747.",NA,No new data,NA,3
"Rhen, T., & Lang, J. W. (1999). Incubation temperature and sex affect mass and energy reserves of hatchling snapping turtles, Chelydra serpentina. Oikos, 86(2), 311-319.",NA,No new data,NA,2
"Rhen, T., & Lang, J. W. (1999). Temperature during embryonic and juvenile development influences growth in hatchling snapping turtles, Chelydra serpentina. Journal of Thermal Biology, 24(1), 33-41.",NA,No new data,NA,2
"Rhen, T., Elf, P. K., Fivizzani, A. J., & Lang, J. W. (1996). Sex-reversed and normal turtles display similar sex steroid profiles. Journal of Experimental Zoology, 274(4), 221-226.",NA,No new data,NA,2
"Rhen, T., Sakata, J. T., Zeller, M., & Crews, D. (2000). Sex steroid levels across the reproductive cycle of female leopard geckos, Eublepharis macularius, from different incubation temperatures. General and Comparative Endocrinology, 118(2), 322-331.",NA,Squamate,NA,3
"Rhen, T., Schroeder, A., Sakata, J. T., Huang, V., & Crews, D. (2011). Segregating variation for temperature-dependent sex determination in a lizard. Heredity, 106(4), 649-660.",NA,Squamate,NA,2
"Rice, E. S., Kohno, S., St. John, J., Pham, S., Howard, J., Lareau, L. F., O'Connell, B. L., Hickey, G., Armstrong, J., Deran, A., Fiddes, I., Platt, R. N., II, Gresham, C., McCarthy, F., Kern, C., Haan, D., Phan, T., Schmidt, C., Sanford, J. R., Ray, D. A., Paten, B., Guillette, L. J., Jr., & Green, R. E. (2017). Improved genome assembly of American alligator genome reveals conserved architecture of estrogen signaling. Genome Research, 27(5), 686-696.",NA,Crocodilian,NA,1
"Riley, J. L., Freedberg, S., & Litzgus, J. D. (2014). Incubation temperature in the wild influences hatchling phenotype of two freshwater turtle species. Evolutionary Ecology Research, 16(5), 397-416.",NA,No hatchling sex ratio data,NA,3
"Rivas, M. L., Esteban, N., & Marco, A. (2019). Potential male leatherback hatchlings exhibit higher fitness which might balance sea turtle sex ratios in the face of climate change. Climatic Change, 156(1-2), 1-14.",NA,Estimated hatchling sex ratios with temperature data,NA,3
"Rödder, D., Kwet, A., & Lötters, S. (2009). Translating natural history into geographic space: A macroecological perspective on the North American slider, Trachemys scripta (Reptilia, Cryptodira, Emydidae). Journal of Natural History, 43(39-40), 2525-2536.",NA,No hatchling sex ratio data,NA,3
"Rollinson, N., Holt, S. M., Massey, M. D., Holt, R. C., Nancekivell, E. G., & Brooks, R. J. (2018). A new method of estimating thermal performance of embryonic development rate yields accurate prediction of embryonic age in wild reptile nests. Journal of Thermal Biology, 74, 187-194.",NA,No hatchling sex ratio data,NA,3
"Roosenburg, W. M. (1996). Maternal condition and nest site choice: An alternative for the maintenance of environmental sex determination? American Zoologist, 36(2), 157-168.",NA,No new data,"Data in Roosenburg, W. M., & Kelley, K. C. (1996). The effect of egg size and incubation temperature on growth in the turtle, Malaclemys terrapin. Journal of Herpetology, 198-204.",3
"Rosenfeld, C. S. (2017). Brain sexual differentiation and requirement of SRY: Why or why not? Frontiers in Neuroscience, 11, 632.",NA,No hatchling sex ratio data,NA,2
"Rostal, D. C., Wibbels, T., Grumbles, J. S., & Spotila, J. R. (1995). Chronology of sex determination in the desert tortoise, Gopherus agassizii. American Zoologist, 35(5), 37A.",NA,No hatchling sex ratio data,NA,1
"Roush, D., & Rhen, T. (2018). Developmental plasticity in reptiles: Critical evaluation of the evidence for genetic and maternal effects on temperature-dependent sex determination. Journal of Experimental Zoology Part A, 329(6-7), 287-297.",NA,No hatchling sex ratio data,NA,3
"Rowe, C. L., Liang, D., & Woodland, R. J. (2020). Effects of constant and fluctuating incubation temperatures on hatching success and hatchling traits in the diamondback terrapin (Malaclemys terrapin) in the context of the warming climate. Journal of Thermal Biology, 88, 102528.",NA,No hatchling sex ratio data,NA,2
"Sakata, J. T., & Crews, D. (2004). Developmental sculpting of social phenotype and plasticity. Neuroscience & Biobehavioral Reviews, 28(2), 95-112.",NA,Squamate,NA,1
"Sakurai, N., Maruo, K., Haraguchi, S., Uno, Y., Oshima, Y., Tsutsui, K., Matsuda, Y., Do Rego, J.-L., Pelletier, G., Vaudry, H., & Nakamura, M. (2008). Immunohistochemical detection and biological activities of CYP17 (P450c17) in the indifferent gonad of the frog Rana rugosa. The Journal of Steroid Biochemistry and Molecular Biology, 112(1-3), 5-12.",NA,Anuran,NA,1
"Salhanick, A. C. R., & Callard, I. P. (1980). A sex-steroid-binding protein in the plasma of the freshwater turtle, Chrysemys picta. General and Comparative Endocrinology, 42(2), 163-166.",NA,No hatchling sex ratio data,NA,2
"Sandoval, S., Gómez-Muñoz, V. M., & Porta-Gándara, M. Á. (2017). Expansion of the transitional range of temperature for sea turtle Lepidochelys olivacea from sex ratio data at controlled incubation temperatures. Herpetology Notes, 10, 63-65.",NA,No new data,NA,2
"Santidrián Tomillo, P., & Spotila, J. R. (2020). Temperature-dependent sex determination in sea turtles in the context of climate change: Uncovering the adaptive significance. BioEssays, 42(11), 2000146.",NA,No new data,NA,3
"Santidrián Tomillo, P., Oro, D., Paladino, F. V., Piedra, R., Sieg, A. E., & Spotila, J. R. (2014). High beach temperatures increased female-biased primary sex ratios but reduced output of female hatchlings in the leatherback turtle. Biological Conservation, 176, 71-79.",NA,Estimated hatchling sex ratios with temperature data,NA,3
"Sari, F., & Kaska, Y. (2017). Assessment of hatchery management for the loggerhead turtle (Caretta caretta) nests on Göksu Delta, Turkey. Ocean & Coastal Management, 146, 89-98.",NA,Estimated hatchling sex ratios with temperature data,NA,3
"Sarre, S. D., Georges, A., & Quinn, A. (2004). The ends of a continuum: Genetic and temperature-dependent sex determination in reptiles. Bioessays, 26(6), 639-645.",NA,No hatchling sex ratio data,NA,3
"Sartori, M. R., Kohl, Z. F., Taylor, E. W., Abe, A. S., & Crossley, D. A., II. (2019). Blood flow distribution in embryonic common snapping turtles Chelydra serpentina (Reptilia; Chelonia) during acute hypoxia and α-adrenergic regulation. Comparative Biochemistry and Physiology Part A, 238, 110575.",NA,No hatchling sex ratio data,NA,2
"Schmahl, J., Yao, H. H., Pierucci-Alves, F., & Capel, B. (2003). Colocalization of WT1 and cell proliferation reveals conserved mechanisms in temperature-dependent sex determination. Genesis, 35(4), 193-201.",NA,No hatchling sex ratio data,NA,4
"Schmid, J. L., Addison, D. S., Donnelly, M. A., Shirley, M. A., & Wibbels, T. (2003). The effects of 2001 summer storm events on nest incubation temperatures and implications for hatchling sex ratios during previous nesting seasons on Keewaydin Island, Florida. In J. A. Seminoff (Eds.), Proceedings of the twenty-second annual symposium on sea turtle biology and conservation (pp. 158-159). NOAA Technical Memorandum NMFS-SEFSC-503.",NA,No hatchling sex ratio data,NA,1
"Schnars, J. L., Voss, M. A., & Stauffer, J. R. (2011). An egg injection technique to evaluate the effect of polychlorinated biphenyls on the hatching success of the snapping turtle (Chelydra serpentina serpentina). Environmental Toxicology and Chemistry, 30(4), 915-919.",NA,No hatchling sex ratio data,NA,2
"Schneeweiss, N. (2004). Climatic impact on reproductive success of Emys orbicularis at the northwestern border of the species' range (Germany). Biologia, 59, 131-137.",NA,No access,NA,3
"Schwanz, L. E., Cordero, G. A., Charnov, E. L., & Janzen, F. J. (2016). Sex-specific survival to maturity and the evolution of environmental sex determination. Evolution, 70(2), 329-341.",NA,No hatchling sex ratio data,NA,1
"Shilling, A. D., Carlson, D. B., & Williams, D. E. (1999). Rainbow trout, Oncorhynchus mykiss, as a model for aromatase inhibition. The Journal of Steroid Biochemistry and Molecular Biology, 70(1-3), 89-95.",NA,Fish,NA,1
"Shine, R. (1999). Why is sex determined by nest temperature in many reptiles? Trends in Ecology & Evolution, 14(5), 186-189.",NA,No hatchling sex ratio data,NA,1
"Shine, R., & Brown, G. P. (2008). Adapting to the unpredictable: Reproductive biology of vertebrates in the Australian wet–dry tropics. Philosophical Transactions of the Royal Society B, 363(1490), 363-373.",NA,No hatchling sex ratio data,NA,2
"Shine, R., & Du, W.-G. (2018). How frequent and important is behavioral thermoregulation by embryonic reptiles? Journal of Experimental Zoology Part A, 329(4-5), 215-221.",NA,No hatchling sex ratio data,NA,2
"Shine, R., & Elphick, M. J. (2001). The effect of short-term weather fluctuations on temperatures inside lizard nests, and on the phenotypic traits of hatchling lizards. Biological Journal of the Linnean Society, 72(4), 555-565.",NA,Squamate,NA,1
"Shine, R., Warner, D. A., & Radder, R. (2007). Windows of embryonic sexual lability in two lizard species with environmental sex determination. Ecology, 88(7), 1781-1788.",NA,Squamate,NA,1
"Shoemaker, C. M., & Crews, D. (2009). Analyzing the coordinated gene network underlying temperature-dependent sex determination in reptiles. Seminars in Cell & Developmental Biology, 20(3), 293-303.",NA,No hatchling sex ratio data,NA,4
"Shoemaker-Daly, C. M., Jackson, K., Yatsu, R., Matsumoto, Y., & Crews, D. (2010). Genetic network underlying temperature-dependent sex determination is endogenously regulated by temperature in isolated cultured Trachemys scripta gonads. Developmental Dynamics, 239(4), 1061-1075.",NA,No hatchling sex ratio data,NA,3
"Sieg, A. E., Binckley, C. A., Wallace, B. P., Santidrián Tomillo, P., Reina, R. D., Paladino, F. V., & Spotila, J. R. (2011). Sex ratios of leatherback turtles: Hatchery translocation decreases metabolic heating and female bias. Endangered Species Research, 15(3), 195-204.",NA,Estimated hatchling sex ratios with temperature data,NA,2
"Sifuentes, I., Tezak, B., Wyneken, J., & Milton, S. L. (2016). Effect of incubation conditions on DNA methylation in turtles with environmental dependent sex determination. Integrative and Comparative Biology, 56, E370.",NA,No hatchling sex ratio data,NA,3
"Sifuentes-Romero, I., Merchant-Larios, H., & García-Gasca, A. (2010). Hox gene expression in the embryonic genital system of the sea turtle Lepidochelys olivacea (Eschscholt, 1829), a species with temperature-dependent sex determination. Gene Expression Patterns, 10(6), 290-298.",NA,No hatchling sex ratio data,NA,2
"Sim, E. L., Booth, D. T., Limpus, C. J., & Guinea, M. L. (2014). A comparison of hatchling locomotor performance and scute pattern variation between two rookeries of the flatback turtle (Natator depressus). Copeia, 2014(2), 339-344.",NA,No hatchling sex ratio data,NA,5
"Simoncini, M. S., Leiva, P. M. L., Piña, C. I., & Cruz, F. B. (2019). Influence of temperature variation on incubation period, hatching success, sex ratio, and phenotypes in Caiman latirostris. Journal of Experimental Zoology Part A, 331(5), 299-307.",NA,Crocodilian,NA,1
"Singh, S. K., Das, D., & Rhen, T. (2020). Embryonic temperature programs phenotype in reptiles. Frontiers in Physiology, 11, 35.",NA,No new data,NA,1
"Smith, C. A., & Joss, J. M. P. (1993). Gonadal sex differentiation in Alligator mississippiensis, a species with temperature-dependent sex determination. Cell and Tissue Research, 273(1), 149-162.",NA,Crocodilian,NA,3
"Smith, C. A., & Joss, J. M. P. (1994). Sertoli cell differentiation and gonadogenesis in Alligator mississippiensis. Journal of Experimental Zoology, 270(1), 57-70.",NA,Crocodilian,NA,3
"Smith, C. A., & Joss, J. M. P. (1994). Steroidogenic enzyme activity and ovarian differentiation in the saltwater crocodile, Crocodylus porosus. General and Comparative Endocrinology, 93(2), 232-245.",NA,Crocodilian,NA,2
"Smith, C. A., & Joss, J. M. P. (1994). Uptake of 3H-estradiol by embryonic crocodile gonads during the period of sexual differentiation. Journal of Experimental Zoology, 270(2), 219-224.",NA,Crocodilian,NA,1
"Smith, C. A., Andrews, J. E., & Sinclair, A. H. (1997). Gonadal sex differentiation in chicken embryos: Expression of estrogen receptor and aromatase genes. The Journal of Steroid Biochemistry and Molecular Biology, 60(5-6), 295-302.",NA,Bird,NA,1
"Smith, C. A., Elf, P. K., Lang, J. W., & Joss, J. M. P. (1995). Aromatase enzyme activity during gonadal sex differentiation in alligator embryos. Differentiation, 58(4), 281-290.",NA,Crocodilian,NA,1
"Smith, C. A., Shoemaker, C. M., Roeszler, K. N., Queen, J., Crews, D., & Sinclair, A. H. (2008). Cloning and expression of R-Spondin1 in different vertebrates suggests a conserved role in ovarian development. BMC Developmental Biology, 8(1), 72.",NA,No hatchling sex ratio data,NA,2
"Somaweera, R., & Shine, R. (2013). Nest-site selection by crocodiles at a rocky site in the Australian tropics: Making the best of a bad lot. Austral Ecology, 38(3), 313-325.",NA,Crocodilian,NA,1
"Sönmez, B. (2018). Relationship between metabolic heating and nest parameters in green turtles (Chelonia mydas, L. 1758) on Samandağ Beach, Turkey. Zoological Science, 35(3), 243-248.",NA,Estimated hatchling sex ratios with temperature data,NA,3
"Spanier, M. J. (2010). Beach erosion and nest site selection by the leatherback sea turtle Dermochelys coriacea (Testudines: Dermochelyidae) and implications for management practices at Playa Gandoca, Costa Rica. Revista de Biología Tropical, 58(4), 1237-1246.",NA,No hatchling sex ratio data,NA,2
"Spencer, R.-J. (2002). Experimentally testing nest site selection: Fitness trade-offs and predation risk in turtles. Ecology, 83(8), 2136-2144.",NA,No hatchling sex ratio data,NA,2
"Spencer, R.-J., & Janzen, F. J. (2014). A novel hypothesis for the adaptive maintenance of environmental sex determination in a turtle. Proceedings of the Royal Society B, 281(1789), 20140831.",NA,Estimated hatchling sex ratios with temperature data,NA,3
"Spencer, R.-J., & Thompson, M. B. (2003). The significance of predation in nest site selection of turtles: an experimental consideration of macro- and microhabitat preferences. Oikos, 102(3), 592-600.",NA,No hatchling sex ratio data,NA,5
"Spencer, R.-J., Janzen, F. J., & Thompson, M. B. (2006). Counterintuitive density-dependent growth in a long-lived vertebrate after removal of nest predators. Ecology, 87(12), 3109-3118.",NA,No hatchling sex ratio data,May have sexed offspring once secondary sexual characteristics appeared - after study,2
"Spiteri, I. D., Guillette, L. J., Jr., & Crain, D. A. (1999). The functional and structural observations of the neonatal reproductive system of alligators exposed in ovo to atrazine, 2, 4-D, or estradiol. Toxicology and Industrial Health, 15(1-2), 181-186.",NA,Crocodilian,NA,1
"Spotila, L. D., & Hall, S. E. (1998). Expression of a new RNA-splice isoform of WT1 in developing kidney–gonadal complexes of the turtle, Trachemys scripta. Comparative Biochemistry and Physiology Part B, 119(4), 761-767.",NA,No hatchling sex ratio data,NA,2
"Spotila, L. D., Spotila, J. R., & Hall, S. E. (1998). Sequence and expression analysis of WT1 and Sox9 in the red-eared slider turtle, Trachemys scripta. Journal of Experimental Zoology, 281(5), 417-427.",NA,No hatchling sex ratio data,NA,2
"St. Juliana, J. R., & Janzen, F. J. (2001). Behavioral and physiological maternal effects and temperature-dependent sex determination in common snapping turtles. American Zoologist, 41(6), 1594-1595.",NA,No hatchling sex ratio data,NA,2
"St. Juliana, J. R., & Janzen, F. J. (2007). Can natural phenotypic variances be estimated reliably under homogeneous laboratory conditions? Journal of Evolutionary Biology, 20(4), 1406-1414.",NA,No hatchling sex ratio data,NA,2
"St. Clair, R., Gregory, P. T., & Macartney, J. M. (1994). How do sexual differences in growth and maturation interact to determine size in northern and southern painted turtles? Canadian Journal of Zoology, 72(8), 1436-1443.",NA,No hatchling sex ratio data,NA,2
"Staines, M. N., Booth, D. T., & Limpus, C. J. (2019). Microclimatic effects on the incubation success, hatchling morphology and locomotor performance of marine turtles. Acta Oecologica, 97, 49-56.",NA,No hatchling sex ratio data,NA,3
"Staines, M. N., Booth, D. T., Madden Hof, C. A., & Hays, G. C. (2020). Impact of heavy rainfall events and shading on the temperature of sea turtle nests. Marine Biology, 167(12), 190.",NA,No hatchling sex ratio data,NA,4
"Steele, A. L., Wibbels, T., & Warner, D. A. (2018). Revisiting the first report of temperature-dependent sex determination in a vertebrate, the African redhead agama. Journal of Zoology, 306(1), 16-22.",NA,Squamate,NA,1
"Stewart, K. R., & Dutton, P. H. (2014). Breeding sex ratios in adult leatherback turtles (Dermochelys coriacea) may compensate for female-biased hatchling sex ratios. PLoS One, 9(2), e88138.",NA,No hatchling sex ratio data,NA,2
"Steyermark, A. C., & Spotila, J. R. (2000). Effects of maternal identity and incubation temperature on snapping turtle (Chelydra serpentina) metabolism. Physiological and Biochemical Zoology, 73(3), 298-306.",NA,No hatchling sex ratio data,NA,2
"Steyermark, A. C., & Spotila, J. R. (2001). Effects of maternal identity and incubation temperature on hatching and hatchling morphology in snapping turtles, Chelydra serpentina. Copeia, 2001(1), 129-135.",NA,No hatchling sex ratio data,NA,2
"Steyermark, A. C., & Spotila, J. R. (2001). Effects of maternal identity and incubation temperature on snapping turtle (Chelydra serpentina) growth. Functional Ecology, 15(5), 624-632.",NA,No hatchling sex ratio data,NA,2
"Stoker, C., Rey, F., Rodriguez, H., Ramos, J. G., Sirosky, P., Larriera, A., Luque, E. H., & Muñoz-de-Toro, M. (2003). Sex reversal effects on Caiman latirostris exposed to environmentally relevant doses of the xenoestrogen bisphenol A. General and Comparative Endocrinology, 133(3), 287-296.",NA,Crocodilian,NA,1
"Summers, T. M., Martin, S. L., Hapdei, J. R., Ruak, J. K., & Jones, T. T. (2018). Endangered green turtles (Chelonia mydas) of the Northern Mariana Islands: Nesting ecology, poaching, and climate concerns. Frontiers in Marine Science, 4, 428.",NA,No hatchling sex ratio data,NA,2
"Sura, P., & Jablonski, A. (1995). Sex determination in turtles. Przegląd Zoologiczny, 39(3-4), 253-263.","Sura, P., & Jablonski, A. (1995). Determinacja plci u zolwi. Przegląd Zoologiczny, 39(3-4), 253-263.",No access,NA,2
"Takada, S., DiNapoli, L., Capel, B., & Koopman, P. (2004). Sox8 is expressed at similar levels in gonads of both sexes during the sex determining period in turtles. Developmental Dynamics, 231(2), 387-395.",NA,No hatchling sex ratio data,NA,2
"Takeshita, S., Matsuda, N., Kodama, S., Suzuki, K., & Watanabe, M. (2013). In vitro thermal effects on embryonic cells of endangered hawksbill turtle Eretmochelys imbricata. Zoological Science, 30(12), 1038-1043.",NA,No hatchling sex ratio data,NA,4
"Tamplin, J. W., & Cyr, A. B. (2011). Effects of acclimation and egg-incubation temperature on selected temperature by hatchling western painted turtles (Chrysemys picta bellii). Journal of Thermal Biology, 36(8), 507-514.",NA,No hatchling sex ratio data,Assumed FPT/MPT produced all one sex,3
"Tanabe, L. K., Ellis, J., Elsadek, I., & Berumen, M. L. (2020). Potential feminization of Red Sea turtle hatchlings as indicated by in situ sand temperature profiles. Conservation Science and Practice, 2(10), e266.",NA,Estimated hatchling sex ratios with temperature data,NA,3
"Tang, W.-Q., Mu, Y., Valenzuela, N., & Du, W.-G. (2017). Effects of incubation temperature on the expression of sex-related genes in the Chinese pond turtle, Mauremys reevesii. Sexual Development, 11(5-6), 307-319.",NA,No hatchling sex ratio data,NA,4
"Tanner, C. E., Marco, A., Martins, S., Abella-Perez, E., & Hawkes, L. A. (2019). Highly feminised sex-ratio estimations for the world’s third-largest nesting aggregation of loggerhead sea turtles. Marine Ecology Progress Series, 621, 209-219.",NA,Estimated hatchling sex ratios with temperature data,NA,2
"Tapilatu, R. F., & Ballamu, F. (2015). Nest temperatures of the Piai and Sayang Islands green turtle (Chelonia mydas) rookeries, Raja Ampat Papua, Indonesia: Implications for hatchling sex ratios. Biodiversitas, 16(1), 102-107.",NA,Estimated hatchling sex ratios with temperature data,NA,2
"Tapilatu, R. F., Wona, H., Siburian, R. H., & Saleda, S. T. (2020). Heavy metals contaminants in the eggs and temperatures of nesting beaches of sea turtles in Kaimana, West Papua, Indonesia. Biodiversitas, 21(10), 4582-4590.",NA,Estimated hatchling sex ratios with temperature data,NA,3
"Tedeschi, J. N., Kennington, W. J., Berry, O., Whiting, S., Meekan, M., & Mitchell, N. J. (2015). Increased expression of Hsp70 and Hsp90 mRNA as biomarkers of thermal stress in loggerhead turtle embryos (Caretta Caretta). Journal of Thermal Biology, 47, 42-50.",NA,No new data,NA,2
"Telemeco, R. S., Abbott, K. C., & Janzen, F. J. (2013). Modeling the effects of climate change–induced shifts in reproductive phenology on temperature-dependent traits. The American Naturalist, 181(5), 637-648.",NA,No hatchling sex ratio data,NA,2
"Telemeco, R. S., Elphick, M. J., & Shine, R. (2009). Nesting lizards (Bassiana duperreyi) compensate partly, but not completely, for climate change. Ecology, 90(1), 17-22.",NA,Squamate,NA,1
"Tezak, B. M., Sifuentes-Romero, I., & Wyneken, J. (2018). A new approach for measuring temperature inside turtle eggs. Journal of Experimental Biology, 221(20), 188698.",NA,No hatchling sex ratio data,NA,2
"Tezak, B., & Wyneken, J. (2015). A novel approach to identify the sex of marine turtles. The FASEB Journal, 29(S1), 874-3.",NA,No hatchling sex ratio data,NA,4
"Therrien, C. & Wibbels, T. (2009). Effect of incubation temperature on the morphology and endocrinology of the reproductive tract of a turtle with temperature-dependent sex determination. Integrative and Comparative Biology, 49(S1), E315.",NA,No hatchling sex ratio data,NA,2
"Thomas, E. O., Light, P., Wibbels, T., & Crews, D. (1992). Hydroxysteroid dehydrogenase activity associated with sexual differentiation in embryos of the turtle Trachemys scripta. Biology of Reproduction, 46(1), 140-145.",NA,No hatchling sex ratio data,NA,4
"Thompson, D. M., Fillmore, R., Fillmore, B. M., Graves, K. G., & Ligon, D. B. (2019). Reproductive investment patterns in a captive population of alligator snapping turtles (Macrochelys temminckii). Herpetologica, 75(4), 280-289.",NA,No hatchling sex ratio data,NA,4
"Thompson, M., Coe, B. H., Andrews, R. M., Cristol, D. A., Crossley, D. A., II, & Hopkins, W. A. (2018). Agricultural land use creates evolutionary traps for nesting turtles and is exacerbated by mercury pollution. Journal of Experimental Zoology Part A, 329(4-5), 230-243.",NA,No hatchling sex ratio data,NA,3
"Torres Maldonado, L. C., Landa Piedra, A., Moreno Mendoza, N., Marmolejo Valencia, A., Meza Martínez, A., & Merchant Larios, H. (2002). Expression profiles of Dax1, Dmrt1, and Sox9 during temperature sex determination in gonads of the sea turtle Lepidochelys olivacea. General and Comparative Endocrinology, 129(1), 20-26.",NA,No hatchling sex ratio data,NA,2
"Tousignant, A., & Crews, D. (1994). Effect of exogenous estradiol applied at different embryonic stages on sex determination, growth, and mortality in the leopard gecko (Eublepharis macularius). Journal of Experimental Zoology, 268(1), 17-21.",NA,Squamate,NA,1
"Tousignant, A., & Crews, D. (1995). Incubation temperature and gonadal sex affect growth and physiology in the leopard gecko (Eublepharis macularius), a lizard with temperature-dependent sex determination. Journal of Morphology, 224(2), 159-170.",NA,Squamate,NA,1
"Treidel, L. A., Carter, A. W., & Bowden, R. M. (2016). Temperature experienced during incubation affects antioxidant capacity but not oxidative damage in hatchling red-eared slider turtles (Trachemys scripta elegans). Journal of Experimental Biology, 219(4), 561-570.",NA,No hatchling sex ratio data,NA,2
"Tucker, C. R., Strickland, J. T., Delaney, D. K., & Ligon, D. B. (2017). Thermal consequences of subterranean nesting behavior in a prairie-dwelling turtle, the Ornate Box Turtle (Terrapene ornata). Canadian Journal of Zoology, 95(2), 123-131.",NA,No hatchling sex ratio data,NA,6
"Tuttle, J., & Rostal, D. (2010). Effects of nest relocation on nest temperature and embryonic development of loggerhead sea turtles (Caretta caretta). Chelonian Conservation and Biology, 9(1), 1-7.",NA,No hatchling sex ratio data,Suggest an overall female bias based on temperature data,2
"Uchida, I. (1983). Manual for the marine chelonology - 5. Problems on eggs. Aquabiology (Tokyo), 5(6), 416-421.",NA,No access,NA,1
"Usategui-Martín, A., Liria-Loza, A., Miller, J. D., Medina-Suárez, M., Jiménez-Bordón, S., Pérez-Mellado, V., & Montero, D. (2019). Effects of incubation temperature on hatchling performance and phenotype in loggerhead sea turtle Caretta caretta. Endangered Species Research, 38, 45-53.",NA,No hatchling sex ratio data,NA,3
"Vaillant, S., Dorizzi, M., Pieau, C., & Richard-Mercier, N. (2001). Sex reversal and aromatase in chicken. Journal of Experimental Zoology, 290(7), 727-740.",NA,Bird,NA,1
"Valenzuela, N. (2001). Maternal effects on life-history traits in the Amazonian giant river turtle Podocnemis expansa. Journal of Herpetology, 35(3), 368-378.",NA,No hatchling sex ratio data,NA,2
